asin,sku,product_name,category,unit_cost,selling_price,inventory,lead_time_days
ASIN-DEMO-1001,SKU-DEMO-1001,Metro Travel Mug,Drinkware,12.50,39.99,180,21
ASIN-DEMO-1002,SKU-DEMO-1002,Cloud Desk Lamp,Home,11.20,29.99,95,28
ASIN-DEMO-1003,SKU-DEMO-1003,Trail Pet Bowl,Pet Supplies,8.40,24.99,18,35
ASIN-DEMO-1004,SKU-DEMO-1004,Coast Phone Stand,Electronics,10.60,34.99,140,20
ASIN-DEMO-1005,SKU-DEMO-1005,Studio Yoga Mat,Fitness,92.00,59.99,70,30
ASIN-DEMO-1006,SKU-DEMO-1006,North Pillow Cover,Home,7.80,22.99,230,18
ASIN-DEMO-1007,SKU-DEMO-1007,Forest Lunch Box,Kitchen,13.00,36.99,110,25
ASIN-DEMO-1008,SKU-DEMO-1008,Urban Cable Kit,Electronics,5.50,18.99,320,14
ASIN-DEMO-1009,SKU-DEMO-1009,Harbor Towel Set,Home,14.20,42.99,88,32
ASIN-DEMO-1010,SKU-DEMO-1010,Peak Resistance Band,Fitness,9.30,27.99,150,22
ASIN-DEMO-1011,SKU-DEMO-1011,Daily Tea Infuser,Kitchen,6.10,19.99,205,16
ASIN-DEMO-1012,SKU-DEMO-1012,Mini Storage Cube,Home,4.80,15.99,400,12
ASIN-DEMO-1013,SKU-DEMO-1013,Soft Grooming Brush,Pet Supplies,5.90,21.99,125,24
ASIN-DEMO-1014,SKU-DEMO-1014,Active Wrist Wrap,Fitness,7.20,25.99,145,20
ASIN-DEMO-1015,SKU-DEMO-1015,Compact Notebook Stand,Electronics,16.40,45.99,60,30
