date,marketplace,campaign_name,asin,impressions,clicks,spend,orders,sales
2026-07-01,US,Brand | Travel Mug,ASIN-DEMO-1001,12000,420,126.00,18,719.82
2026-07-02,US,Brand | Travel Mug,ASIN-DEMO-1001,11800,401,120.30,16,639.84
2026-07-03,US,Core | Desk Lamp,ASIN-DEMO-1002,10500,330,132.00,10,299.90
2026-07-04,US,Core | Desk Lamp,ASIN-DEMO-1002,9800,300,126.00,8,239.92
2026-07-05,US,Prospect | Zero Orders,ASIN-DEMO-1003,16000,510,255.00,0,0.00
2026-07-06,US,Prospect | Zero Orders,ASIN-DEMO-1003,15800,498,249.00,0,0.00
2026-07-07,US,Retarget | Phone Stand,ASIN-DEMO-1004,8200,220,77.00,5,174.95
2026-07-08,US,Retarget | Phone Stand,ASIN-DEMO-1004,8100,218,76.30,4,139.96
2026-07-09,US,Core | Yoga Mat,ASIN-DEMO-1005,13200,380,190.00,3,179.97
2026-07-10,US,Core | Yoga Mat,ASIN-DEMO-1005,12800,365,182.50,2,119.98
2026-07-11,US,Brand | Towel Set,ASIN-DEMO-1009,7700,211,73.85,7,300.93
2026-07-12,US,Core | Band Set,ASIN-DEMO-1010,9600,288,100.80,9,251.91
2026-07-13,US,Brand | Tea Infuser,ASIN-DEMO-1011,6900,180,54.00,6,119.94
2026-07-14,US,Prospect | Cable Kit,ASIN-DEMO-1008,11000,320,112.00,4,75.96
2026-07-15,US,Retarget | Grooming Brush,ASIN-DEMO-1013,7400,205,71.75,8,175.92
