order_id,order_date,marketplace,asin,sku,units,sales,refund_units,customer_type
DEMO-ORD-10001,2026-07-01,US,ASIN-DEMO-1001,SKU-DEMO-1001,2,79.98,0,repeat
DEMO-ORD-10002,2026-07-02,US,ASIN-DEMO-1001,SKU-DEMO-1001,1,39.99,0,new
DEMO-ORD-10003,2026-07-03,US,ASIN-DEMO-1002,SKU-DEMO-1002,4,119.96,0,new
DEMO-ORD-10004,2026-07-04,US,ASIN-DEMO-1002,SKU-DEMO-1002,3,89.97,0,new
DEMO-ORD-10005,2026-07-05,US,ASIN-DEMO-1002,SKU-DEMO-1002,2,59.98,0,repeat
DEMO-ORD-10006,2026-07-08,US,ASIN-DEMO-1002,SKU-DEMO-1002,1,29.99,0,new
DEMO-ORD-10007,2026-07-11,US,ASIN-DEMO-1002,SKU-DEMO-1002,1,29.99,0,new
DEMO-ORD-10008,2026-07-01,US,ASIN-DEMO-1003,SKU-DEMO-1003,5,124.95,0,new
DEMO-ORD-10009,2026-07-04,US,ASIN-DEMO-1003,SKU-DEMO-1003,4,99.96,0,repeat
DEMO-ORD-10010,2026-07-07,US,ASIN-DEMO-1003,SKU-DEMO-1003,5,124.95,0,new
DEMO-ORD-10011,2026-07-10,US,ASIN-DEMO-1003,SKU-DEMO-1003,6,149.94,0,new
DEMO-ORD-10012,2026-07-13,US,ASIN-DEMO-1003,SKU-DEMO-1003,4,99.96,0,repeat
DEMO-ORD-10013,2026-07-02,US,ASIN-DEMO-1004,SKU-DEMO-1004,2,69.98,1,new
DEMO-ORD-10014,2026-07-06,US,ASIN-DEMO-1004,SKU-DEMO-1004,3,104.97,1,new
DEMO-ORD-10015,2026-07-10,US,ASIN-DEMO-1004,SKU-DEMO-1004,2,69.98,1,repeat
DEMO-ORD-10016,2026-07-14,US,ASIN-DEMO-1004,SKU-DEMO-1004,2,69.98,1,new
DEMO-ORD-10017,2026-07-03,US,ASIN-DEMO-1005,SKU-DEMO-1005,2,119.98,0,new
DEMO-ORD-10018,2026-07-08,US,ASIN-DEMO-1005,SKU-DEMO-1005,2,119.98,0,repeat
